Date,USA
2024-02,105.01.00
2024-01,102.05.00
2023-12,102.17.00
2023-11,98.02.00
2023-10,90.02.00
2023-09,92.37.00
2023-08,96.50.00
2023-07,99.39.00
2023-06,96.34.00
2023-05,92.02.00
2023-04,92.59.00
2023-03,91.16.00
2023-02,88.22.00
2023-01,91.25.00
2022-12,85.28.00
2022-11,90.07.00
2022-10,83.17.00
2022-09,78.23.00
2022-08,86.30.00
2022-07,90.22.00
2022-06,84.29.00
2022-05,92.14.00
2022-04,92.13.00
2022-03,100.18.00
2022-02,98.28.00
2022-01,101.37.00
2021-12,106.18.00
2021-11,103.28.00
2021-10,105.31.00
2021-09,100.32.00
2021-08,104.33.00
2021-07,102.11.00
2021-06,101.19.00
2021-05,101.05.00
2021-04,99.19.00
2021-03,95.15.00
2021-02,92.51.00
2021-01,90.44.00
2020-12,91.12.00
2020-11,87.33.00
2020-10,78.14.00
2020-09,80.32.00
2020-08,82.35.00
2020-07,78.07.00
2020-06,74.12.00
2020-05,72.22.00
2020-04,69.12.00
2020-03,62.57.00
2020-02,72.26.00
2020-01,78.11.00
2019-12,79.25.00
2019-11,77.54.00
2019-10,76.17.00
2019-09,74.15.00
2019-08,72.13.00
2019-07,74.16.00
2019-06,74.11.00
2019-05,70.09.00
2019-04,75.02.00
2019-03,72.15.00
2019-02,71.03.00
2019-01,69.32.00
2018-12,64.16.00
2018-11,70.23.00
2018-10,69.14.00
2018-09,74.26.00
2018-08,74.21.00
2018-07,73.30.00
2018-06,71.12.00
2018-05,72.33.00
2018-04,72.39.00
2018-03,72.10.00
2018-02,73.19.00
2018-01,76.20.00
2017-12,72.09.00
2017-11,72.12.00
2017-10,70.30.00
2017-09,69.22.00
2017-08,67.55.00
2017-07,67.28.00
2017-06,65.49.00
2017-05,66.10.00
2017-04,64.28.00
2017-03,63.26.00
2017-02,62.42.00
2017-01,61.29.00
2016-12,59.17.00
2016-11,58.57.00
2016-10,58.37.00
2016-09,59.10.00
2016-08,58.55.00
2016-07,58.35.00
2016-06,56.23.00
2016-05,57.00.00
2016-04,57.21.00
2016-03,56.06.00
2016-02,52.20.00
2016-01,53.26.00
2015-12,56.22.00
2015-11,58.16.00
2015-10,58.07.00
2015-09,54.34.00
2015-08,56.26.00
2015-07,60.34.00
2015-06,59.45.00
2015-05,62.14.00
2015-04,62.14.00
2015-03,60.02.00
2015-02,61.31.00
2015-01,58.13.00
2014-12,58.50.00
2014-11,60.43.00
2014-10,60.01.00
2014-09,59.30.00
2014-08,61.32.00
2014-07,59.39.00
2014-06,60.26.00
2014-05,60.01.00
2014-04,59.23.00
2014-03,58.14.00
2014-02,58.21.00
2014-01,55.35.00
2013-12,58.02.00
2013-11,57.32.00
2013-10,56.05.00
2013-09,54.32.00
2013-08,51.09.00
2013-07,52.29.00
2013-06,50.00.00
2013-05,52.39.00
2013-04,52.19.00
2013-03,51.15.00
2013-02,50.24.00
2013-01,50.29.00
2012-12,48.08.00
2012-11,47.19.00
2012-10,46.45.00
2012-09,47.09.00
2012-08,45.46.00
2012-07,44.23.00
2012-06,44.27.00
2012-05,42.33.00
2012-04,47.06.00
2012-03,47.20.00
2012-02,47.08.00
2012-01,44.48.00
2011-12,42.17.00
2011-11,43.05.00
2011-10,43.55.00
2011-09,39.12.00
2011-08,44.08.00
2011-07,47.15.00
2011-06,48.25.00
2011-05,50.10.00
2011-04,51.09.00
2011-03,48.36.00
2011-02,49.18.00
2011-01,47.31.00
2010-12,47.21.00
2010-11,44.25.00
2010-10,45.23.00
2010-09,43.21.00
2010-08,39.35.00
2010-07,41.11.00
2010-06,38.00.00
2010-05,39.34.00
2010-04,43.41.00
2010-03,43.51.00
2010-02,41.32.00
2010-01,40.05.00
2009-12,42.29.00
2009-11,42.19.00
2009-10,40.05.00
2009-09,41.15.00
2009-08,39.26.00
2009-07,38.14.00
2009-06,34.49.00
2009-05,35.30.00
2009-04,32.35.00
2009-03,28.33.00
2009-02,26.34.00
2009-01,29.13.00
2008-12,32.42.00
2008-11,31.14.00
2008-10,34.09.00
2008-09,41.29.00
2008-08,47.06.00
2008-07,48.26.00
2008-06,49.42.00
2008-05,54.11.00
2008-04,53.25.00